original_len,algorithm,cracked,method,time_taken,password_sample
15,sha256,False,Failed,0.50084,******
11,sha256,False,Failed,0.50024,******
8,sha256,False,Failed,0.50006,******
10,sha256,False,Failed,0.50807,******
12,sha256,False,Failed,0.50006,******
7,sha256,False,Failed,0.50006,******
7,sha256,False,Failed,0.50005,******
14,sha256,False,Failed,0.50006,******
12,sha256,False,Failed,0.50011,******
8,sha256,False,Failed,0.5001,******
8,sha256,False,Failed,0.50031,******
14,sha256,False,Failed,0.56896,******
12,sha256,False,Failed,0.50019,******
12,sha256,False,Failed,0.50014,******
10,sha256,False,Failed,0.50008,******
15,sha256,False,Failed,0.50008,******
9,sha256,False,Failed,0.50007,******
9,sha256,False,Failed,0.50005,******
8,sha256,False,Failed,0.50008,******
8,sha256,False,Failed,0.50006,******
16,sha256,False,Failed,0.50007,******
4,sha256,False,Failed,0.50007,******
6,sha256,False,Failed,0.50005,******
12,sha256,False,Failed,0.50007,******
10,sha256,False,Failed,0.50007,******
9,sha256,False,Failed,0.50024,******
7,sha256,False,Failed,0.50009,******
9,sha256,False,Failed,0.50006,******
12,sha256,False,Failed,0.50007,******
7,sha256,False,Failed,0.50008,******
16,sha256,False,Failed,0.50007,******
13,sha256,False,Failed,0.5001,******
12,sha256,False,Failed,0.50006,******
10,sha256,False,Failed,0.50335,******
13,sha256,False,Failed,0.50015,******
12,sha256,False,Failed,0.50007,******
14,sha256,False,Failed,0.50004,******
4,sha256,False,Failed,0.50004,******
4,sha256,False,Failed,0.50007,******
10,sha256,False,Failed,0.50004,******
8,sha256,False,Failed,0.50006,******
10,sha256,False,Failed,0.50077,******
5,sha256,False,Failed,0.50006,******
16,sha256,False,Failed,0.50007,******
6,sha256,False,Failed,0.50006,******
7,sha256,False,Failed,0.50183,******
16,sha256,False,Failed,0.5001,******
6,sha256,False,Failed,0.50004,******
10,sha256,False,Failed,0.50017,******
15,sha256,False,Failed,0.50035,******
8,sha256,True,Dictionary,5e-05,******
6,sha256,True,Dictionary,5e-05,******
6,sha256,True,Dictionary,4e-05,******
6,sha256,True,Dictionary,5e-05,******
6,sha256,True,Dictionary,1e-05,******
6,sha256,True,Dictionary,2e-05,******
6,sha256,True,Dictionary,1e-05,******
6,sha256,True,Dictionary,1e-05,******
6,sha256,True,Dictionary,1e-05,******
6,sha256,True,Dictionary,2e-05,******
6,sha256,True,Dictionary,1e-05,******
6,sha256,True,Dictionary,3e-05,******
6,sha256,True,Dictionary,3e-05,******
6,sha256,True,Dictionary,3e-05,******
6,sha256,True,Dictionary,2e-05,******
5,sha256,True,Dictionary,2e-05,******
6,sha256,True,Dictionary,2e-05,******
6,sha256,True,Dictionary,3e-05,******
